Downloaded from FDA GRAS Notices; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=GRASNotices; Last updated 7/31/2026; downloaded 8/2/2026.

GRAS Notice (GRN) No.,Substance,Intended Use,Basis,Notifier,Notifier Address,Date of filing,GRN Part 1,GRN Part 2,GRN Part 3,GRN Part 4,GRN Part 5,GRN Part 6,GRN Part 7,Date of closure,Date of correction letter,FDA's Letter,Date additional correspondence,Additional correspondence,Date additinoal correspondence 2,Additional correspondence 2,Date additional correspondence 3,Additional correspondence 3,Date additional correspondence 4,Additional correspondence 4,Resubmission,Resubmitted,Notes,Related submission
=T("288")," <i>Lactobacillus rhamnosus</i> strain HN001"," Ingredient in various foods, including certain beverages and beverage bases (excluding soft drinks); cheeses; milk drinks; milk products; meal replacements; energy bars; ready-to-eat cereals; fruit juices, nectars, ades, and drinks; confections; chewing gum, and hard candies at a level to provide up to 10<sup><small>9</small></sup> colony forming units per standard serving"," Scientific procedures"," Fonterra Co-operative Group"," Private Bag 92032 Auckland 1142<br />Fonterra Centre 9 Princes St. Auckland 1010<br />NEW ZEALAND",03/27/2009," GRN 288 (in PDF)",,,,,,,11/01/2009,," FDA has no questions",,,,,,,,,,,,
=T("289")," Colicin E1 purified from <i>Escherichia coli</i>"," As an antimicrobial to control <i>Escherichia coli</i> on fresh beef carcasses, beef cuts, and ground beef components pre-grind at a level not to exceed 5 milligrams per kilogram on cut meat and trim"," Scientific procedures"," Ivy Animal Health, Inc."," 9111 Barton Street<br />Overland Park, KS&nbsp;&nbsp;66214",04/16/2009," GRN 289 (in PDF)",,,,,,,06/25/2009,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
=T("290")," L-arginine"," As an ingredient in a brine solution to be injected into beef subprimals, or mixed with ground beef to make beef patties. The brine solution contains levels of L-arginine between 0.2 - 0.6 percent"," Scientific procedures"," Ranzell Nickelson II, Ph.D."," 455 Sansom Boulevard<br />Saginaw, TX&nbsp;&nbsp;76179",05/06/2009," GRN 290 (in PDF)",,,,,,,11/02/2009,," FDA has no questions",,,,,,,,,,,,
=T("291")," Crystalline lutein"," Ingredient in baked goods and baking mixes, beverages and beverage bases, breakfast cereals, chewing gum, dairy product analogs, fats and oils, frozen dairy desserts and mixes, gravies and sauces, hard candy, infant and toddler foods, milk products, processed fruits and fruit juices, and soft candy at levels ranging from 0.3 to 3.0 milligrams per reference amount customarily consumed"," Scientific procedures"," Industrial Organica S.A. de C. V."," Ave. Almazan No. 100<br />Col. Topo Chico 64260<br />Monterrey, MEXICO",05/11/2009," GRN 291 (in PDF)",,,,,,,11/06/2009,," FDA has no questions; some uses may require a color additive listing",,,,,,,,,,,,
=T("292")," Cellulase enzyme preparation derived from a genetically modified strain of <i>Myceliophthora thermophila</i>"," Enzyme in the production of wine, beer and fruit juices"," Scientific procedures"," Dyadic International (USA) Inc."," 140 Intracoastal Pointe Dr. <br />Suite 404 <br />Jupiter FL 33477-5094",06/02/2009," GRN 292 (in PDF)",,,,,,,09/29/2009,," FDA has no questions",,,,,,,,,,,,
=T("293")," Glutathione"," Ingredient in baked goods and baking mixes, beverages and beverages bases, breakfast cereals, cheeses, chewing gum, coffee and tea, condiments and relishes, dairy product analogs, gelatins, puddings and fillings, grain products and pastas, gravies and sauces, hard candy, milk products, plant protein products, processed fruits and fruit juices, processed vegetables and vegetables juices, salty snacks, soft candy, soups and soup mixes, and sugar substitutes, at levels ranging from 5 to 742.5 milligrams per serving"," Scientific procedures"," Kohjin Co., Ltd."," 1-21, Nihombashi Muromachi 4 Chome<br />Chou-ku, Tokyo, 103-0022<br />JAPAN",07/02/2009," GRN 293 (in PDF)",,,,,,,12/22/2009,," FDA has no questions",,,,,,,,,=T("244"),,,
=T("294")," <i>Haematococcus pluvialis</i> extract containing astaxanthin esters"," Ingredient in baked goods, beverages, cereals, chewing gum, coffee and tea, dairy product analogs, frozen dairy desserts and mixes, hard candy, milk products, processed fruits and fruit juices, processed vegetables and vegetable juices, and soft candy, at a use level to provide 0.1 milligrams of astaxanthin per serving"," Scientific procedures"," Fuji Chemical Industry Co., Ltd."," 55 Yokohoonji, Kamiichi<br />Toyama 930-0397<br />JAPAN",07/10/2009," GRN 294 (in PDF)",,,,,,,01/06/2010,," FDA has no questions; some uses may require a color additive listing",,,,,,,,,,,,
=T("295")," Aqueous extract of <i>Emblica officinalis</i>"," Ingredient in nonalcoholic beverages and processed fruits and fruit juices at levels ranging from 100 to 150 milligrams per serving"," Common use in food"," Natreon, Inc."," 2D Janine Place<br />New Brunswick, NJ 08901",07/10/2009," GRN 295 (in PDF)",,,,,,,11/23/2009,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,=T("322"),,
=T("296")," Lipase enzyme preparation from a genetically modified strain of <i>Aspergillus niger</i>"," Use in baked goods to enhance the gas holding capacity of the dough, leading to an increased stability of the dough upon proofing"," Scientific procedures"," DSM Food Specialties"," P.O. Box 1<br />2600 MA Delft<br />The NETHERLANDS",07/10/2009," GRN 296 (in PDF)",,,,,,,10/01/2009,," FDA has no questions",,,,,,,,,,,,
=T("297")," Erythritol fatty acid esters"," As a microencapsulant of ingredients such as baking powder in certain foods, primarily baked goods, at the minimum level required to achieve the intended technical effect"," Scientific procedures"," Stepan Company"," 22 West Frontage Road<br />Northfield, IL 60093",07/13/2009," GRN 297 (in PDF)",,,,,,,12/15/2009,," FDA has no questions",,,,,,,,,=T("203"),,,
=T("298")," Silicon dioxide"," Use in a variety of foods and food-packing materials"," Scientific procedures"," Cabot Corporation"," Two Seaport Lane<br />Suite 1300<br />Boston, MA 02210",07/14/2009," GRN 298 (in PDF)",,,,,,,10/09/2009,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,=T("321"),,
=T("299")," Lycopene from <i>Escherichia coli</i> expressing lycopene biosynthetic enzymes"," Ingredient in baked goods and baking mixes, beverages and beverage bases, breakfast cereals, cheeses, frozen dairy desserts and mixes, milk products, processed fruits and fruit juices, snack foods, and soft candy"," Scientific procedures"," Echem Hightech Co., Ltd."," 331 Bautista Place <br />San Jose, CA &nbsp;95126",07/15/2009," GRN 299 (in PDF)",,,,,,,09/22/2009,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
=T("300")," Trisodium diphosphate"," Stabilizer, moisturizer and sequestrant in sausages (fine emulsions); fish and seafood products (excluding catfish and scallops) at levels in accordance with current good manufacturing practices (levels of addition shall not exceed 0.5 percent, as P<sub><small>2</small></sub>O<small><sub>5</sub></small>)"," Scientific procedures"," Chemische Fabrik Budenheim KG"," Rheinstr. 27 <br />D 55257 Budenheim <br />GERMANY",07/21/2009," GRN 300 (in PDF)",,,,,,,12/16/2009,," FDA has no questions",,,,,,,,,,,,
=T("301")," <i>Siraitia grosvenorii</i> Swingle (Luo Han Guo) fruit extract (SGFE)"," For use as a sweetener and flavor enhancer in foods, excluding meat and poultry products, at levels determined by current good manufacturing practice, as well as use as a table top sweetener"," Scientific procedures"," BioVittoria Ltd."," Waikato Innovation Park<br />Ruakura Road<br />P.O. Box 9466<br />Hamilton<br />NEW ZEALAND",07/23/2009," GRN 301 (in PDF)",,,,,,,01/15/2010,," FDA has no questions",04/08/2011," Additional correspondence regarding specifications",,,,,,,,,,
=T("303")," Rebaudioside A purified from the leaves of <i>Stevia rebaudiana</i> (Bertoni) Bertoni"," General-purpose sweetener in foods, excluding meat and poultry products, at levels determined by good manufacturing practice"," Scientific procedures"," Sunwin USA, LLC <br />AND <br />WILD Flavors <br />"," PO Box 1017 <br />Frisco, TX &nbsp;75034 <br />(Sunwin) <br />AND <br />1261 Pacific Avenue <br />Erlanger, KY &nbsp;41018 <br />(WILD Flavors)",09/24/2009," GRN 303 (in PDF)",,,,,,,03/22/2010,," FDA has no questions",,,,,,,,,,,,
=T("304")," Purified steviol glycosides with rebaudioside A and stevioside as the principal components"," General-purpose sweetener in foods, excluding meat and poultry products, at levels determined by good manufacturing practice"," Scientific procedures"," Sunwin USA, LLC <br />AND <br />WILD Flavors <br />"," PO Box 1017 <br />Frisco, TX &nbsp;75034 <br />(Sunwin) <br />AND <br />1261 Pacific Avenue <br />Erlanger, KY &nbsp;41018 <br />(WILD Flavors)",09/24/2009," GRN 304 (in PDF)",,,,,,,03/22/2010,," FDA has no questions",,,,,,,,,,,,
=T("305")," <i>Carnobacterium maltaromaticum</i> strain CB1 (viable and heat-treated)"," Inhibitor of <i>Listeria monocytogenes</i> in a variety of foods including meat and poultry as follows: (1) viable <i>C. maltaromaticum</i> CB1 in ready-to-eat meat products; meat, poultry, and fish products; frozen meals; processed fruit salads and vegetable salads; sauces; and, soft cheese and cheese spread-type products and (2) heat-treated <i>C. maltaromaticum</i> CB1 as an inhibitor of <i>L. monocytogenes</i> in ready-to-eat meat products, meat, poultry, fish, and mixtures; fruits and vegetables; soups and stews; sauces and dressings; and, cheese and cheese spread-type products"," Scientific procedures"," Griffith Laboratories"," 757 Pharmacy Avenue <br />Toronto, Ontario <br />M1L 3J8 CANADA",10/15/2009," GRN 305 (in PDF)",,,,,,,04/19/2010,," FDA has no questions",,,,,,,,,,," Additional uses in"," GRN 159"
=T("306")," Soybean oil with reduced palmitic and linolenic acids and increased oleic acid"," Intended for frying and spraying applications in a variety of food products including meat, poultry, and fish dishes (commercial and restaurant), fried eggs (commercial and restaurant), French fries, potato chips and puffs, salad dressings, salty snacks, and grain mixture dishes, baked goods (including breads, rolls, sweet rolls, biscuits, cakes, cookies, pies, muffins, doughnuts, and pastries), stick margarine, mayonnaise, fat-based sauces, pancakes, and waffles."," Scientific procedures"," Monsanto Company"," 800 North Lindbergh Boulevard.<br />St. Louis, MO &nbsp;63167",10/20/2009," GRN 306 (in PDF)",,,,,,,04/07/2010,," FDA has no questions",07/07/2014," Additional correspondence regarding expanded uses",,,,,,,,,,
=T("307")," Palm oil-derived tocols with tocotrienols and &alpha;-tocopherol as the principal components"," Ingredient in margarines and spreads; designer fats and oils; salad dressings and mayonnaises; potato chips and salty snacks; bakery products (breads, rolls, croissants); cookies and crackers; ready-to-eat cereals, cereal bars, granola bars, protein bars, and power bars; meal replacement and other functional beverage products and mixes; meatless meat products (soy based); meatless soups and soup mixes; meatless gravies, sauces and pasta sauces; processed juices; processed fruits, juice drinks and punch; soft drinks; frozen dairy desserts and mixes; yogurt, pudding and jello; chocolate milk, flavored milk, soy milk and products; chocolate, candy, confectionary and sweets; chewing gum"," Scientific procedures"," Malaysian Palm Oil Board TAS America"," 3516 International Court, N.W. <br />Washington, DC 20008",10/27/2009," GRN 307 (in PDF)",,,,,,,04/23/2010,," FDA has no questions; some uses may require a color additive listing",,,,,,,,,,,,
=T("308")," L-leucine"," Ingredient in non-milk and milk based meal replacements, sports and isotonic beverages, vitamin enhanced waters, and meal replacement bars, at levels of 0.5 to 3 grams per serving"," Scientific procedures"," Ajinomoto Aminoscience, LLC"," 4020 Ajinomoto Drive <br />Raleigh, NC &nbsp;27610",11/02/2009," GRN 308 (in PDF)",,,,,,,04/30/2010,," FDA has no questions",,,,,,,,,,,,
=T("309")," Beta-glucan derived from <i>Aureobasidium pullulans</i>"," Ingredient in baked goods and baking mixes, beverages and beverage bases, cereal and cereal products, dairy product analogs, milk and milk products, plant protein products, processed fruits and fruit juices, and soft candy, at concentrations ranging from 120 to 150 milligrams per serving"," Scientific procedures"," Glucan Corporation, Limited"," Marine Bio Center 221, Silla University <br />Gwaebop-Dong, Sasang-Gu <br />Busan, 617-736 <br />SOUTH KOREA",12/17/2009," GRN 309 (in PDF)",,,,,,,06/14/2010,," FDA has no questions",,,,,,,,,,,,
=T("310")," Potato fiber"," Use to improve the texture, stability, and oil/water binding capacity of whole muscle poultry products and comminuted meat and poultry products at a maximum level of 3.5 percent in the final product"," Scientific Procedures"," J. Rettenmaier USA LP"," 16369 US Highway 131 <br />Schoolcraft, MI 49087",12/24/2009," GRN 310 (in PDF)",,,,,,,06/10/2010,11/06/2010," FDA has no questions",,,,,,,,,,,,
=T("311")," Krill-based phosphatidylserine"," Ingredient in breakfast cereals, dairy product analogs, grain products and pastas, milk products, and processed fruits and fruit juices, at a use level intended to provide 30 milligrams (mg) of phosphatidylserine per serving; and, as an ingredient in medical foods at levels that would not exceed 300 mg of phosphatidylserine per day"," Scientific procedures"," Enzymotec Ltd."," P.O. Box 6 <br />Migdal HaEmeq <br />ISRAEL, 23106",01/05/2010," GRN 311 (in PDF)",,,,,,,06/15/2010,," FDA has no questions; some uses may require a color additive listing",,,,,,,,,,,,
=T("312")," Synthetic dihydrocapsiate"," Ingredient in a variety of food categories to provide three miligrams (mg) per serving (bars  breakfast and meal replacement; beverage concentrates (as powder) (low calorie); beverages soft drinks (sugar free); chewing gum (sugarless); cookies (low fat, fat free); creamer; energy drinks; frozen desserts (ice pops, fruit bars); frozen desserts (dairy); fruit-ades, drinks, and powders (low calorie); fruit juice (fresh orange juice); gelatin&#47;pudding (low calorie); hard candy (dietetic); liquid coffee; crackers (low fat and fat free); meal replacement beverages; non-carbonated water (low calorie); nutritional meal (e.g., Ensure); oatmeal - instant (low sugar); protein based meat alternative (from vegetable and/or dairy); ready-to-eat meals - frozen diet (excludes meat, poultry, seafood); ready-to-eat meals - soup; ready-to-eat cereals (cold); salad dressings (low calorie); snack foods (low calorie) - popcorn (low fat, fat free, low sodium) or rice cake (puffed, cracker-type); sweeteners (low calorie); tea, liquid (low sugar or sugar free); vegetable juice; yogurt  fruit (low fat and fat free); yogurt  chocolate, vanilla, plain (low fat and fat free)), with the exception of chewing gum which would be at a level of ten mg per serving"," Scientific procedures"," Ajinomoto USA, Inc."," 1120 Connecticut Ave., Suite 1010 <br />Washington, DC 20036",01/05/2010," GRN 312 (in PDF)",,,,,,,06/06/2010,," FDA has no questions",,,,,,,,,,,,
=T("313")," Beef protein"," Water binding agent and coating to increase moistness and reduce volume shrinkage in beef products, applied as a coating at up to 0.8% (by weight of final product), as a component of batter at up to 0.14%, and as both at a combined total of up to 0.89%"," Scientific procedures"," Proteus Industries, Inc."," 15 Great Republic Drive <br />Gloucester, MA 01930",01/05/2010," GRN 313 (in PDF)",,,,,,,08/11/2010,12/13/2010," FDA has no questions",,,,,,,,,,,,
=T("314")," Pork protein"," Water binding agent and coating to increase moistness and reduce volume shrinkage in pork products, applied as a coating at up to 0.8% (by weight of final product), as a component of batter at up to 0.14%, and as both at a combined total of up to 0.89%"," Scientific procedures"," Proteus Industries, Inc."," 15 Great Republic Drive <br />Gloucester, MA 01930",01/05/2010," GRN 314 (in PDF)",,,,,,,08/11/2010,12/13/2010," FDA has no questions",,,,,,,,,,,,
